
*
***** Sword3PaySys Start (@ 2025/11/16 00:55:45.570) >>>>>
*

[2025/11/16 00:55:51] 1 >> DB Connect 0 is busy !
[2025/11/16 00:55:51] 2 >> Add Gateway(192.168.254.53 : 59041) Client 0 ! // -- At 0
[2025/11/16 00:55:51] 3 >> DB Connect 0 is free !
[2025/11/16 00:55:51] 4 >> DB Connect 0 is busy !
[2025/11/16 00:55:51] 5 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/16 00:55:51] 6 >> Gateway unlock OK!
[2025/11/16 00:55:51] 7 >> Gateway Connect OK!
[2025/11/16 01:55:28] 250 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:55:43] 251 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:55:58] 252 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:56:13] 253 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:56:28] 254 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:56:43] 255 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:56:58] 256 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:57:13] 257 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:57:28] 258 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:57:43] 259 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:57:58] 260 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:58:13] 261 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:58:28] 262 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:58:43] 263 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:58:58] 264 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:59:13] 265 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:59:28] 266 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:59:43] 267 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:59:58] 268 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:00:13] 269 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:00:28] 270 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:00:43] 271 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:00:58] 272 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:01:13] 273 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:01:28] 274 >> Gateway txjx(192.168.254.53): Ping 14(s)
[2025/11/16 02:01:43] 275 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:01:58] 276 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:02:13] 277 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:02:28] 278 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:02:43] 279 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:02:58] 280 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:03:13] 281 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:03:28] 282 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:03:43] 283 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 02:03:58] 284 >> Gateway txjx(192.168.254.53): Ping 15(s)
